aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
D-AGWB,D-AGWB,1569397,EDDB,LIRF,636.0,201,3:21 h,2026-01-04 13:28:00,2026-01-04 16:49:00,52.362247,13.500672,41.804532,12.251998,A319,Airbus,A319,PASSENGER,No,Eurowings
EC-LRG,EC-LRG,bradfier,LEMD,LPMA,788.0,156,2:36 h,2026-01-04 13:04:00,2026-01-04 15:40:00,40.471926,-3.56264,32.697899,-16.7745,A320,Airbus,A320-214,PASSENGER,No,Iberia
N204CM,N204CM,Frilex,K7M5,KOKM,103.0,81,1:21 h,2026-01-04 12:50:00,2026-01-04 14:12:00,,,35.668098449707,-95.948699951172,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N17105,N17105,Lyra,KEWR,LPFR,3028.0,397,6:37 h,2026-01-04 12:25:00,2026-01-04 19:02:00,40.692501,-74.168701,37.0144004822,-7.96590995789,B752,Boeing,757-200,PASSENGER,No,United Airlines
N817EM,N817EM,jimmy_carrot,LOWW,EDDC,211.0,67,1:07 h,2026-01-04 10:48:00,2026-01-04 11:55:00,48.110298,16.5697,51.134123,13.767831,LJ35,Learjet,35A,PASSENGER,Yes,
N891NN,N891NN,semartinezmo,KLAX,KSFO,293.0,101,1:41 h,2026-01-04 06:46:00,2026-01-04 08:28:00,33.942501,-118.407997,37.619806,-122.374821,B738,Boeing,737-800,PASSENGER,No,American Airlines
N204CM,N204CM,jimmy_carrot,KM36,K7M5,136.0,94,1:34 h,2026-01-04 06:22:00,2026-01-04 07:56:00,,,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,Jaraffe,KM01,KM36,58.0,46,0:46 h,2026-01-04 05:19:00,2026-01-04 06:06:00,,,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,PilotDeviation,KCPS,KM01,202.0,112,1:52 h,2026-01-04 02:15:00,2026-01-04 04:07:00,38.570701599100005,-90.1561965942,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
CS-TUA,CS-TUA,semartinezmo,LPPT,LPMA,521.0,112,1:52 h,2026-01-03 23:59:00,2026-01-04 01:51:00,38.7813,-9.13592,32.697899,-16.7745,A339,Airbus,A330-941,PASSENGER,No,TAP Air Portugal
